value_2025,value_2021,count,fuel_2021,fuel_2025,area_ha
7,4,11070,PCH4,MT02,996.3
29,7,10817,MT02,PL11,973.53
24,29,10689,PL11,PL06,962.01
19,25,10681,PL07,PL01,961.29
5,32,10662,SV01,PCH5,959.58
17,26,10545,PL08,BN04,949.05
33,3,10510,PCH3,SV02,945.9
21,33,10435,SV02,PL03,939.15
29,33,10376,SV02,PL11,933.84
33,30,10149,DX01,SV02,913.41
2,6,9782,MT01,PCH2,880.38
7,21,9728,PL03,MT02,875.52
19,4,9706,PCH4,PL01,873.54
16,25,9611,PL07,BN03,864.99
29,5,9392,PCH5,PL11,845.28
30,2,9352,PCH2,DX01,841.68
1,16,9275,BN03,PCH1,834.75
5,20,9271,PL02,PCH5,834.39
5,21,9247,PL03,PCH5,832.23
5,6,8980,MT01,PCH5,808.2
22,22,8979,PL04,PL04,808.11
5,11,8971,MT06,PCH5,807.39
29,12,8960,MT07,PL11,806.4
5,30,8951,DX01,PCH5,805.59
1,6,8810,MT01,PCH1,792.9
7,26,8759,PL08,MT02,788.31
21,2,8705,PCH2,PL03,783.45
21,7,8594,MT02,PL03,773.46
21,21,8524,PL03,PL03,767.16
7,24,8496,PL06,MT02,764.64
7,1,8441,PCH1,MT02,759.69
23,19,8406,PL01,PL05,756.54
34,26,8019,PL08,SV03,721.71
19,20,8004,PL02,PL01,720.36
2,16,7915,BN03,PCH2,712.35
19,28,7747,PL10,PL01,697.23
33,4,7744,PCH4,SV02,696.96
16,28,7694,PL10,BN03,692.46
27,16,7671,BN03,PL09,690.39
18,6,7579,MT01,BN05,682.11
19,27,7485,PL09,PL01,673.65
3,33,7442,SV02,PCH3,669.78
21,29,7430,PL11,PL03,668.7
20,33,7376,SV02,PL02,663.84
17,34,7327,SV03,BN04,659.43
32,19,7304,PL01,SV01,657.36
1,5,7232,PCH5,PCH1,650.88
32,2,7082,PCH2,SV01,637.38
24,12,6812,MT07,PL06,613.08
12,6,6709,MT01,MT07,603.81
19,17,6660,BN04,PL01,599.4
6,19,6651,PL01,MT01,598.59
7,20,6623,PL02,MT02,596.07
7,9,6550,MT04,MT02,589.5
17,1,6510,PCH1,BN04,585.9
5,29,6471,PL11,PCH5,582.39
17,20,6305,PL02,BN04,567.45
12,16,6265,BN03,MT07,563.85
24,26,6262,PL08,PL06,563.58
26,6,6224,MT01,PL08,560.16
29,30,6192,DX01,PL11,557.28
33,20,6190,PL02,SV02,557.1
3,2,6139,PCH2,PCH3,552.51
19,9,6093,MT04,PL01,548.37
29,17,6090,BN04,PL11,548.1
6,5,6078,PCH5,MT01,547.02
19,22,6072,PL04,PL01,546.48
23,7,5886,MT02,PL05,529.74
29,27,5863,PL09,PL11,527.67
1,33,5827,SV02,PCH1,524.43
29,23,5776,PL05,PL11,519.84
23,6,5775,MT01,PL05,519.75
34,24,5644,PL06,SV03,507.96
21,6,5624,MT01,PL03,506.16
18,18,5588,BN05,BN05,502.92
7,25,5551,PL07,MT02,499.59
24,30,5524,DX01,PL06,497.16
17,12,5483,MT07,BN04,493.47
20,6,5464,MT01,PL02,491.76
20,7,5437,MT02,PL02,489.33
1,29,5384,PL11,PCH1,484.56
29,26,5384,PL08,PL11,484.56
34,23,5356,PL05,SV03,482.04
27,33,5259,SV02,PL09,473.31
17,27,5078,PL09,BN04,457.02
2,21,5071,PL03,PCH2,456.39
33,26,5016,PL08,SV02,451.44
6,12,4980,MT07,MT01,448.2
1,30,4859,DX01,PCH1,437.31
33,21,4756,PL03,SV02,428.04
19,3,4717,PCH3,PL01,424.53
20,29,4700,PL11,PL02,423
11,29,4698,PL11,MT06,422.82
28,28,4681,PL10,PL10,421.29
22,29,4644,PL11,PL04,417.96
25,6,4617,MT01,PL07,415.53
20,2,4606,PCH2,PL02,414.54
22,5,4545,PCH5,PL04,409.05
26,12,4467,MT07,PL08,402.03
2,29,4458,PL11,PCH2,401.22
20,34,4445,SV03,PL02,400.05
7,28,4379,PL10,MT02,394.11
24,27,4365,PL09,PL06,392.85
1,23,4346,PL05,PCH1,391.14
11,6,4279,MT01,MT06,385.11
33,11,4268,MT06,SV02,384.12
22,34,4255,SV03,PL04,382.95
29,34,4186,SV03,PL11,376.74
17,9,4152,MT04,BN04,373.68
11,20,4140,PL02,MT06,372.6
30,5,4139,PCH5,DX01,372.51
7,12,4127,MT07,MT02,371.43
21,12,4121,MT07,PL03,370.89
21,27,4085,PL09,PL03,367.65
5,16,4083,BN03,PCH5,367.47
29,24,4058,PL06,PL11,365.22
23,30,4051,DX01,PL05,364.59
16,9,4002,MT04,BN03,360.18
29,2,3999,PCH2,PL11,359.91
26,26,3940,PL08,PL08,354.6
28,29,3930,PL11,PL10,353.7
6,33,3928,SV02,MT01,353.52
16,4,3883,PCH4,BN03,349.47
6,29,3842,PL11,MT01,345.78
18,5,3829,PCH5,BN05,344.61
11,16,3773,BN03,MT06,339.57
29,28,3761,PL10,PL11,338.49
7,22,3722,PL04,MT02,334.98
20,30,3721,DX01,PL02,334.89
33,27,3659,PL09,SV02,329.31
18,7,3649,MT02,BN05,328.41
18,19,3637,PL01,BN05,327.33
22,33,3520,SV02,PL04,316.8
11,23,3498,PL05,MT06,314.82
13,19,3458,PL01,MT08,311.22
17,21,3398,PL03,BN04,305.82
18,16,3346,BN03,BN05,301.14
34,20,3334,PL02,SV03,300.06
20,24,3328,PL06,PL02,299.52
33,1,3255,PCH1,SV02,292.95
20,23,3173,PL05,PL02,285.57
24,17,3161,BN04,PL06,284.49
32,4,3156,PCH4,SV01,284.04
34,25,3067,PL07,SV03,276.03
21,28,3062,PL10,PL03,275.58
18,33,3055,SV02,BN05,274.95
28,27,3050,PL09,PL10,274.5
7,17,3047,BN04,MT02,274.23
2,17,2995,BN04,PCH2,269.55
9,19,2968,PL01,MT04,267.12
2,11,2966,MT06,PCH2,266.94
33,23,2961,PL05,SV02,266.49
4,4,2942,PCH4,PCH4,264.78
21,30,2942,DX01,PL03,264.78
22,27,2920,PL09,PL04,262.8
21,24,2911,PL06,PL03,261.99
30,33,2911,SV02,DX01,261.99
21,34,2904,SV03,PL03,261.36
2,32,2897,SV01,PCH2,260.73
25,25,2817,PL07,PL07,253.53
19,11,2815,MT06,PL01,253.35
2,1,2787,PCH1,PCH2,250.83
33,17,2775,BN04,SV02,249.75
32,3,2773,PCH3,SV01,249.57
20,12,2767,MT07,PL02,249.03
17,28,2742,PL10,BN04,246.78
5,1,2740,PCH1,PCH5,246.6
20,26,2735,PL08,PL02,246.15
1,3,2711,PCH3,PCH1,243.99
28,33,2702,SV02,PL10,243.18
4,7,2686,MT02,PCH4,241.74
17,22,2678,PL04,BN04,241.02
24,34,2654,SV03,PL06,238.86
2,20,2538,PL02,PCH2,228.42
29,20,2503,PL02,PL11,225.27
26,19,2490,PL01,PL08,224.1
2,26,2479,PL08,PCH2,223.11
23,29,2477,PL11,PL05,222.93
5,17,2437,BN04,PCH5,219.33
21,20,2418,PL02,PL03,217.62
16,13,2411,MT08,BN03,216.99
22,26,2407,PL08,PL04,216.63
5,26,2399,PL08,PCH5,215.91
1,26,2387,PL08,PCH1,214.83
32,16,2387,BN03,SV01,214.83
6,34,2372,SV03,MT01,213.48
28,19,2358,PL01,PL10,212.22
22,23,2300,PL05,PL04,207
34,30,2299,DX01,SV03,206.91
11,26,2286,PL08,MT06,205.74
30,6,2252,MT01,DX01,202.68
7,11,2240,MT06,MT02,201.6
3,19,2228,PL01,PCH3,200.52
28,16,2220,BN03,PL10,199.8
6,7,2215,MT02,MT01,199.35
32,6,2208,MT01,SV01,198.72
17,4,2160,PCH4,BN04,194.4
33,28,2159,PL10,SV02,194.31
22,12,2148,MT07,PL04,193.32
25,12,2147,MT07,PL07,193.23
3,16,2135,BN03,PCH3,192.15
27,2,2119,PCH2,PL09,190.71
21,17,2114,BN04,PL03,190.26
34,3,2109,PCH3,SV03,189.81
21,4,2088,PCH4,PL03,187.92
19,32,2069,SV01,PL01,186.21
2,25,2054,PL07,PCH2,184.86
25,16,2054,BN03,PL07,184.86
33,22,2038,PL04,SV02,183.42
2,23,2018,PL05,PCH2,181.62
11,9,2013,MT04,MT06,181.17
3,6,1998,MT01,PCH3,179.82
4,5,1990,PCH5,PCH4,179.1
18,29,1982,PL11,BN05,178.38
23,27,1978,PL09,PL05,178.02
4,19,1972,PL01,PCH4,177.48
24,33,1962,SV02,PL06,176.58
3,4,1952,PCH4,PCH3,175.68
17,25,1947,PL07,BN04,175.23
16,11,1942,MT06,BN03,174.78
1,24,1934,PL06,PCH1,174.06
12,19,1920,PL01,MT07,172.8
11,17,1918,BN04,MT06,172.62
12,29,1917,PL11,MT07,172.53
17,3,1912,PCH3,BN04,172.08
27,5,1911,PCH5,PL09,171.99
24,5,1883,PCH5,PL06,169.47
11,28,1860,PL10,MT06,167.4
33,9,1851,MT04,SV02,166.59
23,16,1845,BN03,PL05,166.05
5,25,1836,PL07,PCH5,165.24
2,9,1815,MT04,PCH2,163.35
6,25,1804,PL07,MT01,162.36
5,22,1798,PL04,PCH5,161.82
5,9,1761,MT04,PCH5,158.49
11,32,1748,SV01,MT06,157.32
22,17,1741,BN04,PL04,156.69
16,18,1708,BN05,BN03,153.72
24,25,1697,PL07,PL06,152.73
21,26,1651,PL08,PL03,148.59
22,20,1631,PL02,PL04,146.79
16,3,1605,PCH3,BN03,144.45
