value_2025,value_2021,count,fuel_2021,fuel_2025,area_ha
18,18,2725,BN05,BN05,245.25
7,9,2724,MT04,MT02,245.16
27,29,2707,PL11,PL09,243.63
1,34,2702,SV03,PCH1,243.18
21,33,2677,SV02,PL03,240.93
2,6,2631,MT01,PCH2,236.79
12,6,2622,MT01,MT07,235.98
1,2,2619,PCH2,PCH1,235.71
6,5,2619,PCH5,MT01,235.71
22,22,2574,PL04,PL04,231.66
25,6,2572,MT01,PL07,231.48
30,7,2559,MT02,DX01,230.31
16,25,2535,PL07,BN03,228.15
7,25,2522,PL07,MT02,226.98
24,30,2513,DX01,PL06,226.17
33,30,2499,DX01,SV02,224.91
21,7,2497,MT02,PL03,224.73
19,1,2470,PCH1,PL01,222.3
19,12,2435,MT07,PL01,219.15
23,19,2412,PL01,PL05,217.08
1,29,2409,PL11,PCH1,216.81
27,19,2394,PL01,PL09,215.46
34,5,2394,PCH5,SV03,215.46
7,1,2304,PCH1,MT02,207.36
19,3,2288,PCH3,PL01,205.92
16,28,2262,PL10,BN03,203.58
26,6,2242,MT01,PL08,201.78
32,4,2241,PCH4,SV01,201.69
7,26,2209,PL08,MT02,198.81
20,7,2209,MT02,PL02,198.81
29,17,2170,BN04,PL11,195.3
17,9,2142,MT04,BN04,192.78
20,6,2134,MT01,PL02,192.06
5,30,2126,DX01,PCH5,191.34
32,34,2123,SV03,SV01,191.07
18,7,2118,MT02,BN05,190.62
21,6,2093,MT01,PL03,188.37
2,34,2068,SV03,PCH2,186.12
32,3,2067,PCH3,SV01,186.03
20,33,2019,SV02,PL02,181.71
21,29,2000,PL11,PL03,180
34,12,1956,MT07,SV03,176.04
24,26,1938,PL08,PL06,174.42
5,16,1933,BN03,PCH5,173.97
33,4,1920,PCH4,SV02,172.8
27,16,1887,BN03,PL09,169.83
17,34,1881,SV03,BN04,169.29
19,28,1839,PL10,PL01,165.51
19,17,1822,BN04,PL01,163.98
18,19,1809,PL01,BN05,162.81
21,21,1785,PL03,PL03,160.65
29,12,1756,MT07,PL11,158.04
6,19,1750,PL01,MT01,157.5
2,16,1746,BN03,PCH2,157.14
6,33,1744,SV02,MT01,156.96
16,9,1737,MT04,BN03,156.33
18,5,1732,PCH5,BN05,155.88
22,29,1730,PL11,PL04,155.7
34,29,1729,PL11,SV03,155.61
2,21,1713,PL03,PCH2,154.17
33,21,1709,PL03,SV02,153.81
22,5,1689,PCH5,PL04,152.01
24,12,1677,MT07,PL06,150.93
2,29,1663,PL11,PCH2,149.67
12,16,1661,BN03,MT07,149.49
17,1,1657,PCH1,BN04,149.13
23,6,1636,MT01,PL05,147.24
27,33,1623,SV02,PL09,146.07
19,20,1607,PL02,PL01,144.63
7,28,1604,PL10,MT02,144.36
28,28,1594,PL10,PL10,143.46
1,3,1568,PCH3,PCH1,141.12
1,33,1567,SV02,PCH1,141.03
22,33,1556,SV02,PL04,140.04
1,23,1553,PL05,PCH1,139.77
7,20,1537,PL02,MT02,138.33
19,27,1534,PL09,PL01,138.06
2,32,1531,SV01,PCH2,137.79
4,7,1516,MT02,PCH4,136.44
19,9,1514,MT04,PL01,136.26
17,26,1495,PL08,BN04,134.55
29,27,1471,PL09,PL11,132.39
33,20,1455,PL02,SV02,130.95
17,20,1421,PL02,BN04,127.89
11,34,1412,SV03,MT06,127.08
34,22,1385,PL04,SV03,124.65
11,29,1361,PL11,MT06,122.49
30,30,1355,DX01,DX01,121.95
9,19,1351,PL01,MT04,121.59
29,28,1341,PL10,PL11,120.69
22,34,1340,SV03,PL04,120.6
1,30,1333,DX01,PCH1,119.97
34,2,1314,PCH2,SV03,118.26
29,30,1295,DX01,PL11,116.55
17,21,1290,PL03,BN04,116.1
5,17,1278,BN04,PCH5,115.02
18,33,1277,SV02,BN05,114.93
20,29,1277,PL11,PL02,114.93
30,5,1262,PCH5,DX01,113.58
18,16,1240,BN03,BN05,111.6
2,17,1222,BN04,PCH2,109.98
29,23,1210,PL05,PL11,108.9
29,2,1201,PCH2,PL11,108.09
29,34,1188,SV03,PL11,106.92
23,30,1184,DX01,PL05,106.56
29,24,1173,PL06,PL11,105.57
20,23,1167,PL05,PL02,105.03
13,19,1130,PL01,MT08,101.7
3,16,1121,BN03,PCH3,100.89
28,29,1110,PL11,PL10,99.9
25,25,1106,PL07,PL07,99.54
20,2,1105,PCH2,PL02,99.45
33,26,1105,PL08,SV02,99.45
1,24,1102,PL06,PCH1,99.18
17,27,1101,PL09,BN04,99.09
16,4,1097,PCH4,BN03,98.73
7,22,1096,PL04,MT02,98.64
22,27,1086,PL09,PL04,97.74
3,6,1079,MT01,PCH3,97.11
6,12,1079,MT07,MT01,97.11
33,11,1074,MT06,SV02,96.66
7,17,1070,BN04,MT02,96.3
19,22,1067,PL04,PL01,96.03
5,1,1056,PCH1,PCH5,95.04
20,24,1052,PL06,PL02,94.68
11,6,1047,MT01,MT06,94.23
33,27,1042,PL09,SV02,93.78
6,7,1028,MT02,MT01,92.52
11,23,1028,PL05,MT06,92.52
29,26,1006,PL08,PL11,90.54
17,3,999,PCH3,BN04,89.91
19,4,997,PCH4,PL01,89.73
20,30,992,DX01,PL02,89.28
24,34,985,SV03,PL06,88.65
6,29,983,PL11,MT01,88.47
5,26,981,PL08,PCH5,88.29
2,25,976,PL07,PCH2,87.84
11,16,971,BN03,MT06,87.39
3,19,960,PL01,PCH3,86.4
33,17,959,BN04,SV02,86.31
21,28,956,PL10,PL03,86.04
26,12,955,MT07,PL08,85.95
17,28,938,PL10,BN04,84.42
25,16,938,BN03,PL07,84.42
20,34,937,SV03,PL02,84.33
5,22,932,PL04,PCH5,83.88
24,27,922,PL09,PL06,82.98
28,33,914,SV02,PL10,82.26
32,20,905,PL02,SV01,81.45
17,12,899,MT07,BN04,80.91
28,27,898,PL09,PL10,80.82
17,22,867,PL04,BN04,78.03
2,20,855,PL02,PCH2,76.95
21,12,849,MT07,PL03,76.41
32,16,846,BN03,SV01,76.14
33,9,844,MT04,SV02,75.96
18,29,843,PL11,BN05,75.87
3,32,840,SV01,PCH3,75.6
6,25,835,PL07,MT01,75.15
